source,target,flow_value_mil,edge_type,transit_mode
SUP_048,MFG_047,20.341740220802592,material_flow,ocean
SUP_048,MFG_011,5.596511729203556,material_flow,ocean
SUP_049,MFG_046,6.9271698992095,material_flow,truck
SUP_050,MFG_002,16.701519471996985,material_flow,ocean
SUP_050,MFG_039,24.225758911818065,material_flow,ocean
SUP_051,MFG_031,14.719064640667971,material_flow,ocean
SUP_051,MFG_013,15.975028226368343,material_flow,truck
SUP_052,MFG_007,15.521710082505848,material_flow,ocean
SUP_052,MFG_053,12.673720852868277,material_flow,ocean
SUP_053,MFG_020,19.351445742738694,material_flow,ocean
SUP_054,MFG_022,8.697091959623053,material_flow,rail
SUP_054,MFG_018,16.397912349841462,material_flow,ocean
SUP_054,MFG_042,11.324221802663516,material_flow,truck
SUP_055,MFG_015,16.717770955548616,material_flow,ocean
SUP_055,MFG_006,23.77398923652916,material_flow,ocean
SUP_056,MFG_049,13.974663863793497,material_flow,truck
SUP_057,MFG_032,12.896578485489133,material_flow,ocean
SUP_058,MFG_036,13.87384919392073,material_flow,ocean
SUP_059,MFG_022,17.64116561475653,material_flow,ocean
SUP_059,MFG_057,7.520980452498231,material_flow,ocean
SUP_059,MFG_033,15.486058903796934,material_flow,ocean
SUP_060,MFG_045,5.604956425708036,material_flow,ocean
SUP_061,MFG_020,13.82930907414494,material_flow,truck
SUP_061,MFG_055,11.018758813515099,material_flow,truck
SUP_062,MFG_034,13.655672310396632,material_flow,truck
SUP_062,MFG_029,21.108958482864708,material_flow,truck
SUP_062,MFG_014,23.129171251050575,material_flow,ocean
SUP_063,MFG_051,2.282430457384412,material_flow,rail
SUP_064,MFG_051,24.65257919812523,material_flow,ocean
SUP_064,MFG_023,23.33998874021938,material_flow,ocean
SUP_064,MFG_041,18.957731348341603,material_flow,rail
SUP_065,MFG_051,24.58189415181291,material_flow,ocean
SUP_065,MFG_044,19.910342522506404,material_flow,truck
SUP_066,MFG_017,6.741357127980591,material_flow,ocean
SUP_067,MFG_026,21.07725738807073,material_flow,ocean
SUP_067,MFG_018,4.245788589916033,material_flow,ocean
SUP_067,MFG_043,10.789182644727596,material_flow,truck
SUP_068,MFG_049,12.770905804474832,material_flow,ocean
SUP_068,MFG_036,22.2382419242792,material_flow,ocean
SUP_068,MFG_050,6.307542642656641,material_flow,ocean
SUP_069,MFG_035,12.408617624340845,material_flow,ocean
SUP_070,MFG_013,8.433501322031919,material_flow,ocean
SUP_070,MFG_052,8.753705641738028,material_flow,truck
SUP_071,MFG_008,6.1256152080686155,material_flow,ocean
SUP_072,MFG_049,14.695949895538938,material_flow,ocean
SUP_073,MFG_034,19.87559282310174,material_flow,ocean
SUP_073,MFG_055,12.585481299442801,material_flow,ocean
SUP_074,MFG_006,17.26947804390611,material_flow,ocean
SUP_074,MFG_000,12.522163413761113,material_flow,ocean
SUP_075,MFG_048,21.998545734464113,material_flow,truck
SUP_076,MFG_040,5.901726893676746,material_flow,ocean
SUP_076,MFG_007,24.906129454348296,material_flow,ocean
SUP_076,MFG_049,5.335904773657825,material_flow,ocean
SUP_077,MFG_002,23.947188552216858,material_flow,truck
SUP_078,MFG_028,19.841724677524304,material_flow,truck
SUP_078,MFG_057,14.307738743708098,material_flow,ocean
SUP_079,MFG_026,21.46092978054321,material_flow,ocean
SUP_079,MFG_038,12.796341419963838,material_flow,rail
SUP_079,MFG_012,8.997801773217464,material_flow,ocean
SUP_080,MFG_030,12.932857685357273,material_flow,ocean
SUP_080,MFG_001,5.604066750424254,material_flow,ocean
SUP_080,MFG_012,18.46495288146321,material_flow,truck
SUP_081,MFG_029,3.64982794424143,material_flow,ocean
SUP_081,MFG_002,8.596042702302888,material_flow,ocean
SUP_081,MFG_054,4.281649665501646,material_flow,truck
SUP_082,MFG_008,19.752549241484807,material_flow,truck
SUP_083,MFG_001,23.056918648688107,material_flow,truck
SUP_084,MFG_011,2.9084731191159703,material_flow,ocean
SUP_084,MFG_024,4.715578116921646,material_flow,ocean
SUP_084,MFG_057,8.903327508750383,material_flow,ocean
SUP_085,MFG_029,4.738038948772715,material_flow,truck
SUP_085,MFG_055,11.409368867954104,material_flow,ocean
SUP_086,MFG_058,15.147299274237923,material_flow,ocean
SUP_086,MFG_020,14.761639021544891,material_flow,rail
SUP_086,MFG_023,20.88107549443951,material_flow,ocean
SUP_087,MFG_037,13.11374740912844,material_flow,ocean
SUP_088,MFG_052,3.1065499389625737,material_flow,truck
SUP_088,MFG_032,22.49949043356589,material_flow,ocean
SUP_088,MFG_019,4.375680141608002,material_flow,truck
SUP_089,MFG_053,23.645565211767448,material_flow,ocean
SUP_089,MFG_008,13.073639743168677,material_flow,ocean
SUP_090,MFG_037,20.45038992575609,material_flow,truck
SUP_090,MFG_003,18.39690048591713,material_flow,truck
SUP_091,MFG_050,3.5989445555900037,material_flow,ocean
SUP_091,MFG_039,18.450506777404165,material_flow,ocean
SUP_091,MFG_027,5.945165445109359,material_flow,ocean
SUP_092,MFG_001,16.56868102079285,material_flow,truck
SUP_093,MFG_042,8.333835023867817,material_flow,ocean
SUP_093,MFG_007,10.166992457086451,material_flow,ocean
SUP_093,MFG_025,3.7487888398323577,material_flow,rail
SUP_094,MFG_037,1.7319171484661071,material_flow,ocean
SUP_095,MFG_008,20.266376115088914,material_flow,ocean
SUP_095,MFG_058,2.003718970875169,material_flow,truck
SUP_096,MFG_040,5.058493610095636,material_flow,ocean
SUP_096,MFG_050,23.383497216188026,material_flow,truck
SUP_097,MFG_051,14.693473710990556,material_flow,rail
SUP_098,MFG_044,21.185079580301448,material_flow,ocean
SUP_098,MFG_019,4.339840261791084,material_flow,ocean
SUP_098,MFG_001,11.75140461132464,material_flow,ocean
SUP_099,MFG_041,15.623289254956177,material_flow,ocean
SUP_100,MFG_029,5.992589505597973,material_flow,ocean
SUP_100,MFG_022,20.432182194113757,material_flow,truck
SUP_100,MFG_008,19.378823025177383,material_flow,ocean
SUP_101,MFG_034,23.142955579098576,material_flow,ocean
SUP_102,MFG_056,23.777910476387603,material_flow,truck
SUP_102,MFG_034,7.8497269672681975,material_flow,truck
SUP_102,MFG_053,11.37751264444216,material_flow,truck
SUP_103,MFG_055,20.564325567277336,material_flow,rail
SUP_103,MFG_040,22.126042558760492,material_flow,ocean
SUP_104,MFG_021,24.186396945555572,material_flow,truck
SUP_105,MFG_005,10.099860735518643,material_flow,ocean
SUP_105,MFG_050,15.899983186580629,material_flow,truck
SUP_106,MFG_022,12.844220383854399,material_flow,ocean
SUP_107,MFG_008,17.134310558381586,material_flow,truck
SUP_107,MFG_019,13.738014457315415,material_flow,ocean
SUP_108,MFG_016,11.527729152408988,material_flow,ocean
SUP_109,MFG_028,21.208581233558817,material_flow,ocean
SUP_109,MFG_049,21.128908588812628,material_flow,ocean
SUP_110,MFG_045,20.052061891566794,material_flow,ocean
SUP_110,MFG_027,13.900554404873164,material_flow,rail
SUP_110,MFG_023,10.578623189378224,material_flow,truck
SUP_111,MFG_015,7.592499855698002,material_flow,truck
SUP_112,MFG_002,20.344396110473657,material_flow,truck
SUP_113,MFG_046,23.016373636161973,material_flow,ocean
SUP_114,MFG_044,12.286814470317681,material_flow,ocean
SUP_114,MFG_002,23.274546147474098,material_flow,ocean
SUP_115,MFG_007,7.005911806310485,material_flow,truck
SUP_115,MFG_035,18.823857247754113,material_flow,ocean
SUP_116,MFG_024,9.826890051533526,material_flow,ocean
SUP_116,MFG_013,16.425905105806706,material_flow,truck
SUP_117,MFG_030,16.60601727150856,material_flow,ocean
SUP_118,MFG_025,12.67471868058514,material_flow,truck
SUP_119,MFG_042,17.551257805962905,material_flow,ocean
SUP_119,MFG_010,11.551737617419958,material_flow,ocean
SUP_120,MFG_008,17.130747042371176,material_flow,truck
SUP_120,MFG_013,10.977621959761297,material_flow,ocean
SUP_120,MFG_011,10.187063395488405,material_flow,ocean
SUP_121,MFG_025,11.832081403698336,material_flow,ocean
SUP_121,MFG_007,11.376013597087969,material_flow,rail
SUP_121,MFG_014,3.1271913939899383,material_flow,rail
SUP_122,MFG_023,12.469049850945535,material_flow,ocean
SUP_122,MFG_038,17.934298954635807,material_flow,ocean
SUP_123,MFG_045,16.210696949038013,material_flow,truck
SUP_123,MFG_009,22.30608422593567,material_flow,rail
SUP_124,MFG_046,16.480235571797614,material_flow,ocean
SUP_125,MFG_047,4.6963918089847905,material_flow,ocean
SUP_125,MFG_045,7.129850100444239,material_flow,truck
SUP_126,MFG_054,1.6138955966840358,material_flow,truck
SUP_126,MFG_045,15.403371597122245,material_flow,truck
SUP_127,MFG_018,15.69974817033,material_flow,truck
SUP_127,MFG_042,19.414679225287557,material_flow,rail
SUP_127,MFG_006,10.827297805330652,material_flow,rail
SUP_128,MFG_040,22.495629529646045,material_flow,truck
SUP_128,MFG_002,4.3486427334320625,material_flow,truck
SUP_128,MFG_039,16.02031998521464,material_flow,ocean
SUP_129,MFG_010,14.72487254492157,material_flow,truck
SUP_130,MFG_034,18.559501694077312,material_flow,ocean
SUP_131,MFG_054,13.58678546733405,material_flow,rail
SUP_131,MFG_059,14.267928546217588,material_flow,ocean
SUP_132,MFG_033,11.40872639456703,material_flow,ocean
SUP_132,MFG_051,6.134410787225134,material_flow,ocean
SUP_133,MFG_023,17.807352493211372,material_flow,ocean
SUP_133,MFG_052,11.313889145816002,material_flow,ocean
SUP_133,MFG_022,2.3252230420097355,material_flow,rail
SUP_134,MFG_012,3.5955026160927677,material_flow,ocean
SUP_134,MFG_009,3.0594585210265324,material_flow,rail
SUP_135,MFG_010,10.882768659658591,material_flow,ocean
SUP_135,MFG_014,10.948499905364347,material_flow,truck
SUP_135,MFG_040,6.520010861161596,material_flow,ocean
SUP_136,MFG_025,14.125991026773312,material_flow,ocean
SUP_136,MFG_021,1.7829813137531252,material_flow,rail
SUP_137,MFG_015,14.116538987978021,material_flow,ocean
SUP_138,MFG_008,8.46800715451446,material_flow,ocean
SUP_138,MFG_039,19.545859469113893,material_flow,ocean
SUP_138,MFG_033,19.419900004223372,material_flow,truck
SUP_139,MFG_000,17.527055255079954,material_flow,truck
SUP_140,MFG_054,10.852399368701214,material_flow,truck
SUP_141,MFG_008,14.30830133658316,material_flow,truck
SUP_141,MFG_028,24.447305311030263,material_flow,truck
SUP_141,MFG_039,1.7388776526579184,material_flow,truck
SUP_142,MFG_050,10.923931289520922,material_flow,ocean
SUP_143,MFG_001,7.021417032492429,material_flow,ocean
SUP_144,MFG_028,4.41486924666246,material_flow,truck
SUP_144,MFG_004,2.63022890134783,material_flow,ocean
SUP_144,MFG_050,13.213030033824033,material_flow,ocean
SUP_145,MFG_053,19.768822477238054,material_flow,rail
SUP_145,MFG_052,8.681328521331476,material_flow,ocean
SUP_146,MFG_035,4.534571403959841,material_flow,ocean
SUP_146,MFG_044,22.148736149335384,material_flow,ocean
SUP_147,MFG_048,20.95936096406394,material_flow,truck
SUP_147,MFG_045,10.950881497515468,material_flow,ocean
SUP_147,MFG_015,21.68257215494451,material_flow,ocean
SUP_148,MFG_018,12.580921779200143,material_flow,rail
SUP_148,MFG_057,8.048233920602469,material_flow,ocean
SUP_148,MFG_000,19.886963451496996,material_flow,ocean
SUP_149,MFG_023,2.753407504786755,material_flow,ocean
SUP_149,MFG_004,8.238318578702165,material_flow,truck
