node_id,facility_limit_mil,baseline_pd,sc_adjusted_pd,lgd_rate,expected_loss_mil,pricing_spread_bps,lc_approval_status
SUP_044,6.45,0.055,0.0635,0.6,0.246,347.7,1
SUP_045,3.13,0.054,0.0774,0.6,0.145,407.5,1
SUP_046,25.69,0.25,0.4057,0.6,6.252,1225.7,0
SUP_047,9.4,0.0463,0.0463,0.4,0.174,293.9,1
SUP_048,24.86,0.01,0.0154,0.4,0.154,196.8,1
SUP_049,26.67,0.2045,0.2918,0.6,4.67,908.1,0
SUP_050,8.37,0.0438,0.0953,0.6,0.478,394.5,0
SUP_051,28.69,0.0336,0.042,0.4,0.482,261.3,1
SUP_052,5.81,0.0685,0.1541,0.6,0.537,547.5,0
SUP_053,18.95,0.0155,0.0282,0.4,0.214,237.2,1
SUP_054,15.96,0.005,0.0051,0.4,0.033,192.4,1
SUP_055,20.41,0.0756,0.1137,0.6,1.393,458.7,0
SUP_056,28.58,0.035,0.0719,0.6,1.232,345.1,1
SUP_057,19.45,0.0343,0.0387,0.4,0.301,257.9,1
SUP_058,15.05,0.1017,0.1185,0.6,1.071,545.9,0
SUP_059,20.74,0.1213,0.1213,0.6,1.509,468.1,0
SUP_060,20.79,0.0944,0.1216,0.6,1.516,469.5,0
SUP_061,9.02,0.0468,0.0546,0.6,0.295,295.3,1
SUP_062,13.63,0.0467,0.0536,0.6,0.438,315.4,1
SUP_063,22.83,0.0145,0.0196,0.4,0.179,223.9,1
SUP_064,19.27,0.0354,0.0374,0.4,0.289,253.6,1
SUP_065,10.21,0.0582,0.0959,0.6,0.588,397.1,0
SUP_066,25.19,0.1424,0.1768,0.6,2.673,616.3,0
SUP_067,17.79,0.0388,0.0406,0.4,0.289,274.4,1
SUP_068,6.04,0.0188,0.0281,0.4,0.068,231.4,1
SUP_069,10.33,0.0447,0.053,0.6,0.328,336.8,1
SUP_070,7.03,0.055,0.0859,0.6,0.362,373.3,0
SUP_071,19.54,0.0345,0.0516,0.6,0.605,294.0,1
SUP_072,3.85,0.0566,0.0638,0.6,0.148,361.5,1
SUP_073,21.35,0.0416,0.046,0.4,0.393,279.8,1
SUP_074,28.18,0.0415,0.0435,0.4,0.491,281.1,1
SUP_075,25.54,0.0463,0.0749,0.6,1.148,351.3,1
SUP_076,27.87,0.0662,0.0747,0.6,1.249,347.9,1
SUP_077,7.73,0.167,0.1978,0.6,0.918,716.6,0
SUP_078,5.82,0.0663,0.0792,0.6,0.276,362.3,1
SUP_079,24.8,0.0906,0.0923,0.6,1.374,422.8,0
SUP_080,12.32,0.0439,0.052,0.6,0.384,290.2,1
SUP_081,22.6,0.0163,0.0163,0.4,0.147,200.6,1
SUP_082,5.97,0.0807,0.1002,0.6,0.359,407.0,0
SUP_083,16.58,0.048,0.0614,0.6,0.611,326.4,1
SUP_084,12.47,0.0464,0.0956,0.6,0.716,402.4,0
SUP_085,16.96,0.0561,0.0832,0.6,0.846,396.0,0
SUP_086,22.52,0.0549,0.0811,0.6,1.096,369.1,0
SUP_087,20.57,0.0323,0.0355,0.4,0.292,299.9,1
SUP_088,3.78,0.0565,0.0565,0.6,0.128,300.5,1
SUP_089,14.26,0.0265,0.0444,0.4,0.253,299.5,1
SUP_090,17.22,0.0559,0.0772,0.6,0.798,373.1,1
SUP_091,19.43,0.0359,0.0422,0.4,0.328,285.0,1
SUP_092,23.41,0.0652,0.0717,0.6,1.007,365.0,1
SUP_093,5.8,0.0497,0.0649,0.6,0.226,341.2,1
SUP_094,23.57,0.1091,0.2238,0.6,3.166,731.3,0
SUP_095,15.44,0.0215,0.0283,0.4,0.175,229.1,1
SUP_096,19.33,0.0568,0.0777,0.6,0.901,350.8,1
SUP_097,18.18,0.0517,0.1125,0.6,1.227,477.8,0
SUP_098,14.13,0.0525,0.0556,0.6,0.471,310.3,1
SUP_099,14.43,0.0705,0.1158,0.6,1.003,503.1,0
SUP_100,23.48,0.0379,0.0379,0.4,0.356,261.3,1
SUP_101,21.31,0.1172,0.1719,0.6,2.198,587.8,0
SUP_102,29.44,0.1228,0.1228,0.6,2.169,465.1,0
SUP_103,4.29,0.1075,0.1196,0.6,0.308,473.4,0
SUP_104,18.78,0.011,0.0121,0.4,0.091,195.3,1
SUP_105,17.44,0.0354,0.0453,0.4,0.316,272.8,1
SUP_106,7.57,0.0139,0.0185,0.4,0.056,213.1,1
SUP_107,12.34,0.0387,0.0522,0.6,0.386,287.5,1
SUP_108,6.58,0.0567,0.0648,0.6,0.256,364.1,1
SUP_109,20.09,0.0584,0.0656,0.6,0.791,325.0,1
SUP_110,10.09,0.0806,0.1244,0.6,0.754,492.6,0
SUP_111,2.96,0.0429,0.0501,0.6,0.089,287.2,1
SUP_112,18.68,0.0879,0.0966,0.6,1.083,407.3,0
SUP_113,23.03,0.0187,0.0233,0.4,0.215,214.5,1
SUP_114,14.41,0.0564,0.0769,0.6,0.665,381.5,1
SUP_115,3.89,0.0574,0.0703,0.6,0.164,339.8,1
SUP_116,13.45,0.04,0.0557,0.6,0.449,305.7,1
SUP_117,11.01,0.25,0.3145,0.6,2.078,957.0,0
SUP_118,8.59,0.1088,0.1197,0.6,0.617,460.8,0
SUP_119,16.56,0.0643,0.0861,0.6,0.855,390.2,0
SUP_120,26.29,0.048,0.0795,0.6,1.254,386.2,1
SUP_121,22.26,0.0169,0.0277,0.4,0.247,249.6,1
SUP_122,6.14,0.0987,0.1305,0.6,0.481,482.9,0
SUP_123,19.39,0.0748,0.0839,0.6,0.976,376.1,0
SUP_124,18.79,0.0396,0.0499,0.4,0.375,282.5,1
SUP_125,5.18,0.0416,0.0505,0.6,0.157,286.8,1
SUP_126,15.98,0.0238,0.025,0.4,0.16,287.6,1
SUP_127,28.48,0.0402,0.0405,0.4,0.462,291.8,1
SUP_128,22.13,0.03,0.0401,0.4,0.355,267.2,1
SUP_129,6.03,0.0913,0.1255,0.6,0.454,485.1,0
SUP_130,15.02,0.0627,0.0829,0.6,0.747,382.7,0
SUP_131,3.21,0.2139,0.2246,0.6,0.433,730.5,0
SUP_132,14.76,0.0208,0.0363,0.4,0.215,247.0,1
SUP_133,6.19,0.0069,0.0101,0.4,0.025,187.6,1
SUP_134,14.62,0.0519,0.0545,0.6,0.478,335.9,1
SUP_135,20.79,0.0198,0.0198,0.4,0.164,238.9,1
SUP_136,15.53,0.0683,0.0974,0.6,0.908,438.5,0
SUP_137,12.7,0.0204,0.0224,0.4,0.114,244.5,1
SUP_138,15.21,0.038,0.038,0.4,0.231,252.3,1
SUP_139,26.19,0.1438,0.1582,0.6,2.486,559.5,0
SUP_140,28.22,0.0407,0.0677,0.6,1.146,327.5,1
SUP_141,25.82,0.0602,0.0602,0.6,0.932,351.8,1
SUP_142,14.45,0.0402,0.0519,0.6,0.45,336.5,1
SUP_143,15.32,0.0332,0.0436,0.4,0.267,322.7,1
SUP_144,28.8,0.1959,0.2218,0.6,3.833,714.2,0
SUP_145,12.04,0.0341,0.0437,0.4,0.21,300.1,1
SUP_146,11.14,0.0115,0.0132,0.4,0.059,222.7,1
SUP_147,27.4,0.0848,0.0985,0.6,1.619,450.4,0
SUP_148,29.09,0.0276,0.0294,0.4,0.342,281.1,1
SUP_149,10.86,0.0859,0.1799,0.6,1.172,638.3,0
